Title,Genre,Runtime,Rating
The Eyes of My Mother,"Action,Drama,Horror",76,6.1
Moana,"Action,Adventure,Animation,Comedy,Family",107,7.6
Doctor Strange,"Action,Adventure,Fantasy,Sci-Fi",115,7.5
Moonlight,"Action,Drama",111,7.4
Allied,"Action,Drama,Romance,Thriller,War",124,7.1
Nocturnal Animals,"Crime,Drama,Romance,Thriller",116,7.5
A Monster Calls,"Action,Animation,Drama,Fantasy",108,7.5
Manchester by the Sea,"Action,Drama",137,7.8
Hacksaw Ridge,"Action,Biography,Drama,History,War",139,8.2
Dark Matter,"Action,Drama",88,6.1
The Escort,"Action,Comedy,Drama,Romance",88,6.0
Bleed for This,"Action,Biography,Drama,Sport",117,6.8
Gimme Danger,"Action,Documentary,Music",108,7.2
The Edge of Seventeen,"Comedy,Drama",104,7.4
Girl Asleep,"Comedy,Family,Fantasy",77,6.2
