Title,Rating,Genre,Runtime
La 7ème compagnie au clair de lune,6.2,Comedy,75 min
"Terra de Pão, Terra de Luta",N/A,Documentary,75 min
You Never Can Tell,7.3,Drama,120 min
The Roller Girls,5.8,Comedy,30 min
Baise-moi partout,4.9,Adult,73 min
Closed Circuit,7.1,"Crime, Mystery, Sci-Fi",88 min
Dr. Katzenbergers Badereise,N/A,Drama,90 min
Der Führerschein,6.9,Drama,75 min
The Immigrants,8.4,Drama,240 min
#DUPE#,N/A,N/A,N/A
My Way Home,7.4,"Biography, Drama",71 min
#DUPE#,N/A,N/A,N/A
Seeta Aur Geeta,6.9,"Adventure, Comedy, Drama",162 min
Székács a köbön,5.0,N/A,81 min
Watership Down,7.6,"Animation, Adventure, Drama",91 min
#DUPE#,N/A,N/A,N/A
Yuan jia,N/A,Comedy,N/A
Bestia,6.3,Drama,105 min
Gros câlin,6.7,Comedy,95 min
Ève avait l'éclat métallique de l'été,N/A,N/A,60 min
H.O.T.S.,4.6,Comedy,98 min
Junge Leute brauchen Liebe,N/A,N/A,N/A
Malibu High,5.0,"Crime, Drama, Thriller",90 min
Erotic Nights of the Living Dead,4.2,"Adult, Horror",88 min
Die Quelle,7.1,Drama,90 min
She xing zui bu,6.0,Action,90 min
Tigers are Better-Looking,9.0,Short,21 min
Vampire Hookers,3.9,"Comedy, Horror",88 min
The Visitor,5.2,"Horror, Sci-Fi",108 min
Knockabout,7.2,"Action, Comedy, Drama",92 min
Les égouts du paradis,6.1,"Action, Crime, Drama",115 min
Skag,7.4,Drama,60 min
#DUPE#,N/A,N/A,N/A
9 to 5,6.9,Comedy,109 min
After Grad with Dad,4.6,Short,25 min
Eine Anzeige in der Zeitung,N/A,Drama,88 min
The Blood of Hussain,6.9,Drama,112 min
Borderline,6.0,"Action, Drama",97 min
Caddyshack,7.2,"Comedy, Sport",98 min
Charlotte,7.1,"Biography, Drama, War",96 min
Pals,6.5,Drama,98 min
Damy priglashayut kavalerov,6.6,"Comedy, Drama, Romance",76 min
Denver,7.2,Fantasy,82 min
Despido improcedente,5.4,Comedy,80 min
Sweet Inquest on Violence,5.0,Drama,98 min
L'envers du décor,N/A,"Documentary, Short",25 min
Voltati Eugenio,7.1,Drama,110 min
Pilot,N/A,"Drama, Romance",104 min
The Ghost Dance,4.3,"Horror, Thriller",96 min
The Girls in the Office,6.0,"Comedy, Romance",100 min
Heiße Kartoffeln,4.5,Comedy,82 min
Kapax del Amazonas,4.9,"Adventure, Romance",92 min
Hotel Paradise,4.4,"Action, Adult, Adventure",101 min
L'infermiera nella corsia dei militari,4.6,Comedy,89 min
The Jayne Mansfield Story,5.2,"Biography, Drama",100 min
Joe Albany... a Jazz Life,7.8,Documentary,57 min
Klincz,6.9,"Drama, Sport",96 min
Zombie Lake,3.1,Horror,90 min
Leo and Loree,5.1,"Romance, Comedy",97 min
Look Back in Anger,7.6,Drama,100 min
Lunch Wagon,4.7,"Comedy, Crime, Romance",88 min
Martin Eden,6.8,Drama,N/A
La locandiera,5.7,Comedy,109 min
La momia nacional,3.8,"Comedy, Horror",85 min
Death Watch,6.6,"Drama, Sci-Fi, Thriller",117 min
Unknown,N/A,N/A,N/A
O bednom gusare zamolvite slovo,7.8,"Comedy, Drama, History",167 min
Ojciec królowej,5.9,"Comedy, History",106 min
La paloma azul,N/A,N/A,90 min
Phoelix,6.3,N/A,47 min
The Tale of John and Mary,7.1,"Animation, Adventure, Family",65 min
La ragazza di Via Millelire,5.4,N/A,93 min
Reiseabrechnung,N/A,N/A,60 min
Rosa Heimat - eine Landillusion,N/A,N/A,N/A
Schizoid,5.1,"Drama, Horror, Mystery",89 min
Serial,6.5,Comedy,86 min
The Shining,8.4,"Drama, Horror",146 min
Sophia Loren: Her Own Story,6.7,"Biography, Drama",150 min
The Story of a Refugee,N/A,N/A,N/A
Kein Kinderspiel,N/A,"Crime, Drama, Mystery",80 min
Theo gegen den Rest der Welt,6.8,"Comedy, Crime, Romance",106 min
Total vereist,6.1,N/A,N/A
Társkeresés No. 1463,7.5,Drama,N/A
#DUPE#,N/A,N/A,N/A
Do You Want a Nobel Baby?,4.5,Comedy,90 min
Wie wär's mit uns beiden?,4.6,N/A,84 min
The Rebellious Reign,7.2,Action,86 min
Zhong shen da shi,7.6,Sci-Fi,100 min
Bergerac,6.8,"Crime, Drama, Mystery",90 min
Collin,7.0,Drama,181 min
Kessler,6.7,"Drama, Thriller",50 min
Omni: The New Frontier,7.8,Documentary,30 min
That's My Boy,7.3,Comedy,30 min
Aberraciones sexuales de un diputado,5.3,N/A,80 min
L'alba,N/A,Drama,82 min
L'amour nu,6.2,"Drama, Romance",100 min
Bad Girls,6.3,"Adult, Adventure, Comedy",82 min
The Best Little Girl in the World,6.3,Drama,100 min
Boldyn,5.2,"Biography, Drama, History",119 min
Bürgschaft für ein Jahr,6.7,Drama,93 min
Centerfold Fever,7.2,"Adult, Comedy, Drama",79 min
Chu Chu and the Philly Flash,4.2,Comedy,92 min
Corridas de alegría,5.8,Comedy,86 min
The Dancers,6.7,"Adult, Drama, Romance",N/A
